trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
35,0,35,0,85.65025389999937,86.63584610000544,86.65306460000284,up,1,0.8205558999979985,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
36,0,36,0,87.48356110000168,88.48510600000009,88.48510600000009,up,1,0.8334751999936998,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
37,0,37,0,89.3491783999998,90.3340640000024,90.35085800000525,down,0,1.5479127999933553,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
38,0,38,0,91.89943530000164,92.90041120000387,92.90041120000387,down,0,1.1010555999964708,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
39,0,39,0,94.03121839999949,95.0166176000057,95.03345940000145,down,0,1.7442757999961032,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
40,0,40,0,96.7963688000018,97.78222800000367,97.79875100000208,down,1,0.6367450999969151,None,3,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
41,0,41,0,98.46542190000036,99.44832160000078,99.46500809999998,down,1,1.9838273999994271,None,3,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
42,0,42,0,101.46272080000199,102.46364069999981,102.46364069999981,down,1,1.1317386999944574,None,-3,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
43,0,43,0,103.62795920000644,104.6131705000007,104.63030370000342,up,1,0.917825599994103,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
44,0,44,0,105.56065550000494,106.54663900000014,106.56292960000428,up,1,0.6635366999980761,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
45,0,45,0,107.22696530000394,108.22901430000638,108.22901430000638,down,1,0.8413892999960808,None,2,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
